abandon ,əˈbændən  ," покидать, оставлять, самовольно уходить"
protracted,[prə'træktid],"затянувшийся; длительный, затяжной, продолжительный, растянутый"
provenance,['prоv(ə)nən(t)s],"происхождение, источник"
provisional government,,временное правительство
provoke,[prə'vəuk],"вызывать, возбуждать; провоцировать"
prudent,['pru:d(ə)nt],"благоразумный, предусмотрительный, разумный, рассудительный; благоразумный, предусмотрительный, разумный, рассудительный"
pugnacious,[p∧g'nei∫əs],драчливый
pulverize,['p∧lv(ə)raiz],"растирать, дробить, измельчать; превращать в порошок"
pursue a hobby,,"иметь хобби, увлекаться"
quaint,[kweint],"привлекательный своей оригинальностью или старомодностью, причудливый, затейливый"
quake,[kweik],"трястись, дрожать, качаться, колебаться (о земле)"
quandary,['kwоnd(ə)ri],затруднительное положение; затруднение; недоумение
quarrel,['kwоr(ə)l],ссора; перебранка; раздоры
quash,[kwо∫],"аннулировать, отменять"
quench,[kwenʧ],"гасить, тушить, заливать (огонь, пламя)"
query,['kwiəri],вопрос
quicksilver,"['kwik,silvə]",ртуть
radiant heat,,"лучистая энергия, инфракрасное излучение"
radical economics,,"радикальная экономика (термин, обозначающий марксистские экономические учения, а также некоторые учения анархического характера)"
ragged robin,"['rægid,rоbin]","дрёма, кукушкин цвет"
raid,[reid],внезапное нападение; рейд; налёт; набег
random variable,,случайная переменная
range elevation,,установка прицела
rash promise,,опрометчивое обещание
ration book,['ræ∫(ə)nbuk],продовольственная или промтоварная книжка
raze,[reiz],разрушать до основания
rebellion,[ri'beliən],"восстание; бунт, мятеж"
reception area,"[ri'sep∫(ə)n,ɛəriə]",рецептурный отдел в аптеке
recess appointment,,межсессионное назначение (назначение на государственную должность в период между сессиями Сената)
reciprocal curve,,кривая обратной зависимости
reckless,['rekləs],"необдуманный, безрассудный; опрометчивый, беспечный"
recollect,"[,rek(ə)'lekt]","вспоминать, припоминать"
reconcile,['rek(ə)nsail],"мирить, помирить, примирить"
recount,"[,ri:'kaunt]","рассказывать, излагать подробно"
recruit,[ri'kru:t],"кто-л., недавно или только что причисленный к некоему определённому кругу"
recurring decimal,[ri'kə:riɳ'desim(ə)l],периодическая десятичная дробь
redeem,[ri'di:m],выкупать (заложенные вещи и т. п.); выплачивать (долг по закладной)
redoubtable,[ri'dautəbl],"страшный, грозный, устрашающий"
refine,[ri'fain],"очищать (от примесей), рафинировать; повышать качество; облагораживать"
refurbish,"[,ri:'fə:bi∫]",подновлять; освежать; наводить блеск (на что-л.)
to refute a contention,,опровергать заявление
rehabilitate,"[,ri:hə'biliteit]",реабилитировать
rehearse,[ri'hə:s],репетировать; репетировать
reimburse,"[,ri:im'bə:s]","возвращать, возмещать, покрывать (сумму)"
NG,,Национальная гвардия (США)
release gear,[ri'li:sgiə],бомбосбрасыватель
relegate,['religeit],"переводить в низший разряд, класс; низводить"
reliable evidence,,надёжные доказательства; надёжные доказательства
relish,['reli∫],"(приятный) вкус, привкус, запах"
remedy,['remədi],"средство от болезни, лекарство"
reminisce,"[,remi'nis]","предаваться воспоминаниям, вспоминать прошлое"
remit,[ri'mit],прощать (обиду); отпускать (грехи)
remnant,['remnənt],остаток; остатки
remote access,,дистанционный доступ
remunerate,[ri'mju:n(ə)reit],"вознаграждать; компенсировать, оплачивать"
to render active,,"активировать, активизировать"
renounce,[ri'naun(t)s],отказываться (обычно путём формального заявления)
Ed,[ed],Эд (мужское имя)
repel,[ri'pel],"отбрасывать, отражать (атаку, нападение)"
repercussion,"[,ri:pə'k∧∫(ə)n]",отдача (после удара)
reproach,[ri'prəuʧ],"бранить; попрекать; укорять, упрекать"
reprobate,['reprəbeit],"негодяй, подлец"
veal,[vi:l],телятина
repugnance,[ri'p∧gnən(t)s],"отвращение, антипатия; нерасположение"
rescind,[ri'sind],"аннулировать, расторгать, отменять (закон, договор и т. п.)"
resent,[ri'zent],"негодовать, возмущаться; обижаться"
reserved character,,"молчаливость, скрытность"
residual,[ri'zidjuəl],остаточный
resolute,['rez(ə)lu:t],"непоколебимый, решительный, твёрдый"
resound,[ri'zaund],"громко звучать, раздаваться; оглашаться"
restless,['restləs],"беспокойный, неугомонный"
résumé,['rezju:mei],"резюме, краткое изложение сути (сказанного, прочитанного)"
resurrection man,,похититель трупов
retaliate,[ri'tælieit],"отвечать (на агрессию, обиду и т. п.); отплачивать, мстить"
reticent,['retis(ə)nt],"молчаливый, немногословный, неразговорчивый"
retraction,[ri'træk∫(ə)n],втягивание
retreat,[ri'tri:t],"отступать, отходить"
retroact,"[,retrəu'ækt]",двигаться в обратном направлении
reveal,[ri'vi:l],открывать; разоблачать
revere,[ri'viə],"уважать; чтить, почитать"
revoke,[ri'vəuk],"отменять, аннулировать (закон, приказ и т. п.); отзывать, объявлять недействительным"
riddle,['ridl],загадка; трудная проблема
rigour,['rigə],"строгость, суровость"
to rip and tear,,"бесноваться, неистовствовать, рвать и метать"
ripe old age,,"почтенный возраст, зрелый возраст"
risky,['riski],"опасный, рискованный"
roam,[rəum],"бродить, путешествовать, скитаться, странствовать"
rotundity,[rə't∧ndəti],округлённость
rough and ready,,"сделанный небрежно, наспех (но такой, что может успешно использоваться по назначению) 2) грубый, но эффективный (о способе, образе действия, приёмах и т. п.) 3) бесцеремонный, невежливый, неучтивый, резкий"
route leg,,этап маршрута
rudiment,"['ru:dimənt, 'ru:dəmənt]","начальные знания, основы"
rugged country,,пересечённая местность
rummage sale,['r∧miʤ'seil],распродажа невостребованных товаров
rumour,['ru:mə],"молва, слух, слушок, слухи, толки"
rural dean,,благочинный; благочинный
salvage,['sælviʤ],спасение имущества (при кораблекрушении или пожаре)
sanction,['sæɳ(k)(∫)(ə)n],"официальное одобрение, разрешение, поддержка (чего-л.)"
sanctuary,['sæɳ(k)ʧuəri],"святилище (храм, церковь)"
sanguine,['sæɳgwin],сангвинический (о темпераменте)
saturate,['sæʧ(ə)reit],(saturate with)
CY,,календарный год
scan,[skæn],through бегло просматривать (текст)
scant,[skænt],"скудный, недостаточный; ограниченный"
scarce,[skɛəs],"недостаточный, скудный"
scatter cushion,,декоративная подушка
scattered showers,,местами проливные дожди
scent out,,"разузнать, пронюхать"
scholarly,['skоləli],учёный; свойственный учёным
scorch out,,сжигать дотла
scorn,[sko:n],"презрение, пренебрежение"
rap group,,"дискуссионный кружок, который собирается для обсуждения личных проблем участников"
scribble,['skribl],писать быстро и небрежно
Ouse,[u:z],Уз (река в Англии)
scrutinize,['skru:tinaiz],"внимательно всматриваться, пристально разглядывать"
seasoned eye,,намётанный глаз
secluded spot,,уединённое место
second(-)hand bookseller,,букинист
sedition,[si'di∫(ə)n],"подстрекательство к мятежу, бунту"
seduction,[si'd∧k∫(ə)n],обольщение
seemly,['si:mli],"подобающий, приличествующий, приличный"
self-reliant,"[,selfri'laiənt]","уверенный в своих силах, в себе"
sensational,[sen'sei∫(ə)n(ə)l],"чувственный, основанный на ощущениях"
sentinel,['sentin(ə)l],sentry
sequential,[si'kwen(t)∫(ə)l],являющийся продолжением; следующий
sequester,[si'kwestə],"изолировать (кого-л.), отделять"
serene,[si'ri:n],ясный; безоблачный
serpent,['sə:p(ə)nt],"змея (обычно большая), змей"
sever,['sevə],"отделять, разделять; разлучать, разъединять"
severe laceration,,тяжкие муки
shabby,['∫æbi],"поношенный; потрёпанный, потёртый (о вещах)"
shatter,['∫ætə],разбить вдребезги; раздробить
shimmer,['∫imə],мерцать
shiver,['∫ivə],"трепетать; дрожать, трястись (обычно от холода или страха)"
shortcoming,"[,∫o:t'k∧miɳ]","отсутствие, недостаток"
shred,[∫red],"клочок, кусочек, обрывок"
shrewd reasoning,,"тонкое, мудрое замечание"
shrill laughter,,визгливый смех
shun,[∫∧n],"беречься, избегать, остерегаться"
shy away,,"(shy away from) сторониться, избегать; уклоняться"
significant other,[sig'nifikənt'∧∂ə],"""вторая половина"", супруг(а)"
signify,['signifai],"значить, означать, обозначать; символизировать"
simulate,['simjəleit],"симулировать; притворяться, прикидываться; делать вид"
simultaneous interpreter,,синхронный переводчик
singular form,,форма единственного числа
sip,[sip],маленький глоток
sceptical,['skeptik(ə)l],скептический
sketch in,,"описать, изобразить более подробно, добавив (какие-л. детали и т. п.)"
sketchy records,,фрагментарные записи
skew curve,,"кривая в трёхмерном пространстве, не лежащая на какой-л. одной плоскости"
skid,[skid],"скаты, полоз, салазки, направляющий рельс"
skinny,['skini],"худой, тощий, кожа да кости"
slack away,,травить (канат)
slander,['sla:ndə],"злословие, клевета, клеветнические измышления; опорочивание"
slender purse,,бедность
slim down,,"уменьшать, сокращать (количество, объём)"
sluggish market,,"рынок, цены на котором движутся вяло"
sly,[slai],"коварный, ловкий, хитрый; пронырливый"
smoulder,['sməuldə],густое облако дыма
e contrario,,из противоположного; наоборот
snub nose,,курносый нос
soak off,,удалить с помощью замачивания
sojourn,['sоʤə:n],временное пребывание
solicit,[sə'lisit],"просить, упрашивать; умолять"
Er,,эрбий (порядковый номер в таблице Менделеева - 68)
sophisticated method,,"изощрённый, тонкий метод"
sophistry,['sоfistri],софистика
sort of,,отчасти
sound bite,,"короткий отрывок, фраза из речи политика (цитируемая по радио или телевидению)"
sovereign guarantee,,государственная гарантия
span of control,,"предельный объём ответственности (предельный объём единиц, находящихся в подчинении)"
Spartan,['spa:t(ə)n],"спартанский, относящийся к Спарте"
spawn,[spo:n],"икра (рыб, земноводных)"
specimen book,,каталог образцов
spectacular,[spek'tækjələ],производящий глубокое впечатление; впечатляющий; эффектный
spell down,,победить в конкурсе правописания
to spin a coin,,играть в орлянку
spirited,['spiritid],"живой, оживлённый, энергичный; яркий"
splash down,,приводниться (о космическом корабле)
splendid,['splendid],"роскошный, пышный, великолепный"
spoil,[spоil],(spoils) трофеи; (военная) добыча; награбленное
sporadic(al) disease,,единичное заболевание
spot broadcasting,,передача местной радиостанции
spouse,[spauz],"муж, супруг; жена, супруга"
spur gear,,прямозубое цилиндрическое зубчатое колесо; прямозубая цилиндрическая зубчатая передача
spurious,['spjuəriəs],"поддельный; подложный, фальшивый, фиктивный; ложный, иллюзорный"
squander,['skwоndə],расточительство; расточительство
stagnant,['stægnənt],"стоячий (о воде); застойный, застоявшийся"
stain,[stein],пятно
stale,[steil],"несвежий, чёрствый"
stall,[sto:l],стойло; конюшня
stately home,['steitli'həum],"старинный помещичий дом или замок, представляющий исторический интерес"
stationary air,,"воздух, остающийся в легких после нормального выдоха"
status quo,"[,steitəs'kwəu]","статус-кво, положение вещей; существующее или существовавшее положение"
staunch liberal,,убеждённый либерал
stealthy,['stelθi],"незаметный, скрытый, тайный"
steep,[sti:p],крутой
stentorian,[sten'to:riən],"громоподобный, зычный, громкий (о голосе)"
Rn,,радон (порядковый номер в таблице Менделеева - 86)
stifle,['staifl],душить
stifling,['staifliɳ],душный
still and all,,тем не менее
stoic,['stəuik],(Stoic) стоик (последователь философии стоицизма)
stout heart,,смелый человек
strenuous,['strenjuəs],"энергичный; активный, сильный; рьяный, усердный"
strife,[straif],"борьба; раздор, спор, соперничество"
strive,[straiv],"стараться, пытаться"
struggle along,,испытывать трудности в жизни
stubborn resistance,,упорное сопротивление
stumble,['st∧mbl],спотыкание; запинка; задержка
stun grenade,"['st∧ngri,neid]",свето-шумовая граната (с ослепляющим и оглушающим эффектом)
stupendous,[stju:'pendəs],громадный; огромной важности
sturdy,['stə:di],"прочный, крепкий"
sublime,[sə'blaim],"высочайший, величайший; совершенный, безупречный; безукоризненный"
submerge,[səb'mə:ʤ],"окунать; опускать, погружать под воду"
subsequent,['s∧bsikwənt],"более поздний, последующий, следующий"
subside,[səb'said],"опускаться, падать, понижаться, убывать"
subsidiary,[səb'sidi(ə)ri],второстепенный; вспомогательный
succumb,[sə'k∧m],(succumb to)
sullen mood,,мрачное настроение
summit conference,,"встреча глав правительств, конференция на высшем уровне"
sundry,['s∧ndri],"различный, разный"
superb,[su:'pə:b],великолепный
superficial acquaintance,,поверхностное знакомство
supplant,[sə'pla:nt],"выжить, вытеснить; занять (чьё-л.) место (особ. хитростью)"
supple Tam,,марионетка
supplicate,['s∧plikeit],"молить, просить, умолять, упрашивать"
surfeit,['sə:fit],"излишество, неумеренность (особенно в пище и питье)"
surge,[sə:ʤ],большая волна; волны
surly,['sə:li],"угрюмый, сердитый; грубый"
surmise,[sə'maiz],"догадка, подозрение, предположение"
surpass,[sə'pa:s],"превосходить, превышать"
suspend,[sə'spend],"вешать, подвешивать"
to sway back and forth,,качаться из стороны в сторону
sweeping accusation,,"обвинение всех без разбора, огульное обвинение"
swift of foot,,быстроногий
swivel gun,['swiv(ə)lg∧n],орудие на вертлюжной установке
sybaritic,"[,sib(ə)'ritik]",сибаритский; изнеженный
synagogue,['sinəgоg],синагога
synopsis,[si'nоpsis],"конспект, краткий обзор; синопсис"
synthesize,['sinθəsaiz],синтезировать
taciturn,['tæsitə:n],молчаливый; неразговорчивый
tact,[tækt],"такт, тактичность"
tactic,['tæktik],относящийся к расположению
taint,[teint],пятно
tale,[teil],рассказ; сказка
tame,[teim],"приручённый, одомашненный; укрощённый (о животных)"
tangle,['tæɳgl],спутанный клубок
tantalize,['tænt(ə)laiz],"манить, соблазнять, дразнить, мучить; подвергать танталовым мукам"
tantamount,['tæntəmaunt],"эквивалентный, равносильный, равноценный"
tardy,['ta:di],медлительный
tarnish,['ta:ni∫],тусклость
tart words,,колкости
taunt,[to:nt],"насмешка, язвительное замечание"
tautology,[to:'tоləʤi],"повторение, тавтология"
tawdry,['to:dri],"мишурный, кричаще безвкусный"
taxonomy,[tæk'sоnəmi],"систематика, таксономия"
tease number,,стриптиз
tedious,['ti:diəs],"нудный, скучный, утомительный"
telling blow,,точный удар; удар в цель
temperate zone,,зона умеренного климата; умеренный пояс
tempting,['tem(p)tiɳ],"заманчивый, привлекательный, соблазнительный"
tender age,,"ранний возраст, нежный возраст"
tenor,['tenə],"направление, течение; движение, развитие"
tentative itinerary,,пробный маршрут
tepid,['tepid],"тепловатый, чуть тёплый, почти холодный"
ternary time,,трёхдольный размер
tether,['te∂ə],привязь (для пасущегося животного)
thaw,[θo:],оттепель; таяние
thermal capacity,['θə:m(ə)lkə'pæsiti],теплоёмкость
thorough bass,['θ∧rəbeis],генерал-бас
thoroughfare,['θ∧rəfɛə],"оживлённая улица; главная артерия (города), главная дорога"
thrifty,['θrifti],"бережливый, расчётливый, экономный"
thrilling,['θriliɳ],"волнующий, захватывающий"
thrive,[θraiv],"благоденствовать, преуспевать, процветать"
tidings,['taidiɳz],"известия, новости, вести"
tilt hammer,"['tilt,hæmə]",хвостовой молот
timid,['timid],робкий; застенчивый
tint,[tint],"краска; окраска, оттенок, расцветка, тон"
tiresome,['taiəsəm],"утомительный, изнурительный"
toil,[tоil],тяжёлый труд
tolerant,['tоl(ə)r(ə)nt],"терпимый, относящийся терпимо, толерантный"
torpid,['to:pid],"онемелый, оцепеневший"
torrent,['tоr(ə)nt],стремительный поток
torture,['to:ʧə],пытка
tow,[təu],"бечева; буксирный канат, трос; буксир"
towering,['tauəriɳ],"высокий, вздымающийся; возвышающийся"
toxic gas,,отравляющий газ
trailblazer,"['treil,bleizə]","новатор, пионер"
trajectory,[trə'ʤekt(ə)ri],траектория
transmute,[trænz'mju:t],"изменяться, превращаться, преобразовываться"
entablature,[en'tæbləʧə],антаблемент
transpose,[træn'spəuz],"переносить, перемещать"
to traverse a subject,,обсудить вопрос
treacherous,['treʧ(ə)rəs],"вероломный, изменнический, предательский"
tremendous,[tri'mendəs],"огромный, гигантский, громадный"
tremor,['tremə],tremble 1.
trepidation,"[,trepi'dei∫(ə)n]","трепет, дрожь; дрожание"
tribunal of arbitrators,,"третейский суд, арбитраж"
trickle,['trikl],"течь тонкой струйкой, сочиться; капать"
to trigger a rifle,,спустить курок ружья; спустить курок ружья
trivial issues,,пустяки
trying plane,['traiiɳplein],фуганок
to tug at the oars,,быть рабом на галерах
tumble,['t∧mbl],"tumble down, = tumble offпадать;спотыкаться"
tumultuous,[tju:'m∧lʧuəs],"шумный, буйный, бурный"
turbulent,['tə:bjulənt],"бурный, бушующий"
ultimate analysis,,элементарный анализ
unattended,"[,∧nə'tendid]",без сопровождения; без свиты
unbearable,[∧n'bɛərəbl],"невыносимый, нетерпимый"
uncanny,[∧n'kæni],"сверхъестественный, необъяснимый, странный"
uncouth,[∧n'ku:θ],"грубый, неотёсанный"
undercover work,,шпионская деятельность
undergo,"[,∧ndə'gəu]","испытывать, переносить"
underlying form,,внутренняя форма
undertake,"[,∧ndə'teik]","предпринимать, совершать"
undulate,['∧ndjəleit],"волнистый, волнообразный"
unerring,[∧n'ə:riɳ],"безошибочный, верный; непогрешимый"
ungainly,[∧n'geinli],"неловкий, нескладный, неуклюжий"
uniform prices,,единые цены
unique feature,,особенность конструкции или модели
universal joint,,"гибкое соединение,кардан, универсальный шарнир"
unquenchable thirst,,неутолимая жажда
unruly,[∧n'ru:li],"буйный, непокорный, непослушный, несдержанный"
unscathed,[∧n'skei∂d],"невредимый, неповреждённый"
unsound,[∧n'saund],"болезненный; больной, нездоровый; страдающий от ран"
uphold,[∧p'həuld],"поддерживать, помогать"
upkeep,['∧pki:p],"содержание в рабочем состоянии; уход, обслуживание; ремонт"
roar down,,перекричать; заглушать криком
uptight,[∧p'tait],"встревоженный, взволнованный"
urgent reason,,"веский довод, веская причина"
urinary,['juərin(ə)ri],мочевой
usurp,[ju:'zə:p],"узурпировать, незаконно захватывать; узурпировать, незаконно захватывать"
utter barrister,,"адвокат, не имеющий звания королевского адвоката и выступающий в суде ""за барьером"""
vacant possession,,"""свободное помещение, готовое для въезда"" (объявление)"
vacuous,['vækjuəs],"пустой, незаполненный"
vague notion,,"неопределённое, слабое понятие, представление"
vain,[vein],"тщеславный; самодовольный, самовлюблённый, полный самомнения"
valiant resistance,,героическое сопротивление
valid reason,,"веский довод, веская причина"
vanguard,['vænga:d],"головной отряд, авангард"
vanish,['væni∫],исчезать
vanity bag,"['vænəti,bæg]",косметичка; сумочка для косметики
variable life policy,,"открытый полис страхования жизни (сочетает свойства срочного и бессрочного страхования; страхователь может изменять размер выплачиваемой премии и размер суммы, выплачиваемой в случае смерти, самостоятельно распоряжаться инвестиционной частью страховой суммы и выбирать инвестиционные инструменты под свою ответственность)"
variation,"[,vɛəri'ei∫(ə)n]","изменение, варьирование; колебание"
vast majority,,"подавляющее, абсолютное большинство (более 50 % голосов)"
vaunt,[vo:nt],хвастовство
vehemence,['vi:əmən(t)s],"сила; горячность, страстность"
vein,[vein],вена; кровеносный сосуд
venerate,['ven(ə)reit],"благоговеть (перед кем-л.), чтить (кого-л.)"
venereal,[və'niəriəl],венерический
venomous,['venəməs],ядовитый
venue,['venju:],"место проведения (мероприятия, встречи)"
verbose,[və:'bəus],многословный
verify,['verifai],"проверять, контролировать"
versatile,['və:sətail],"многосторонний, многогранный, разносторонний"
vessel,['ves(ə)l],сосуд (для жидкости)
vigorous,['vig(ə)rəs],"сильный, энергичный; решительный"
vindicate,['vindikeit],доказывать
visceral divination,,гадание на внутренностях
vital capacity,,"жизнеспособность; жизненность, жизнестойкость"
vivid,['vivid],яркий
vogue,[vəug],мода
voluptuous,[və'l∧pʧuəs],"чувственный; сладострастный, сластолюбивый"
wade in,,"вступить (в спор, дискуссию, борьбу); ввязаться (в разговор)"
to wag one's finger at smb.,,грозить кому-л. пальцем
wage cut,['weiʤk∧t],снижение заработной платы
wail,[weil],продолжительный скорбный крик; вопль
walkout,['wo:kaut],"забастовка, стачка"
wan,[wоn],"бледный, изнурённый; болезненный"
to wander away,,"уходить, убегать, сбегать"
wane,[wein],"спад, упадок"
ward heeler,,мальчик на побегушках
ware,[wɛə],"обычно wares товары, продукты производства"
waxy,['wæksi],восковой
weary,['wiəri],"усталый, изнурённый, утомлённый"
well-to-do,"[,weltə'du:]","богатый, зажиточный, обеспеченный, состоятельный"
wholesome,['həuls(ə)m],полезный; благотворный; дающий хорошие результаты
wicked,['wikid],"злой, злобный; безнравственный"
widespread notion,,широко распространённое мнение
wile,[wail],"хитрость, уловка; приём, ухищрение"
winsome,['winsəm],"приятный, миловидный; обаятельный, располагающий к себе; детски непосредственный"
wise guy,['waizgai],"умник, всезнайка"
to withdraw a franchise,,лишать лицензии
wither,['wi∂ə],"вянуть, сохнуть; блёкнуть, высыхать, увядать; вянуть, сохнуть; блёкнуть, высыхать, увядать"
withstand,[wi∂'stænd],"устоять (перед чем-л.), выдержать (что-л.); противостоять, не поддаваться (чему-л.)"
witty remark,,остроумное замечание
Woe be to him!,,Будь он проклят!
wonder,['w∧ndə],"удивление, изумление"
wound,[wu:nd],рана; ранение
wrinkle,['riɳkl],морщина; складка
to yield a point,,сделать уступку (в споре)
zealous,['zeləs],"рьяный, усердный"
zenith distance,['zeniθdist(ə)n(t)s],угловое расстояние (небесного тела) от зенита; зенитное расстояние
zone,[zəun],"зона, пояс, полоса; область, район"
abundant,[ə'b∧ndənt],"обильный, богатый, изобилующий"
accurate,['ækjərət],"верный, правильный, точный"
acute,[ə'kju:t],"остроконечный, острый"
adjacent,[ə'ʤeis(ə)nt],"расположенный рядом, смежный, соседний (to)"
adverse,['ædvə:s],враждебный
aggregate,['ægrigət],"множество, совокупность, скопление"
agrarian,[ə'grɛəriən],"аграрный, земельный; земледельческий; сельскохозяйственный"
amnesia,[æm'ni:ziə],"потеря памяти, амнезия"
annual,['ænjuəl],"ежегодный; годичный, годовой"
apparent,[ə'pær(ə)nt],"видимый, видный"
artificial,"[,a:ti'fi∫(ə)l]","искусственный, ненатуральный, неестественный"
auditory,['o:dit(ə)ri],слуховой
authentic,[o:'θentik],"аутентичный, истинный, настоящий, подлинный, неподдельный"
bachelor,['bæʧ(ə)lə],холостяк
bare,[bɛə],"голый, нагой, обнажённый"
barren,['bær(ə)n],"бесплодный, нерепродуктивный (о человеке; животном)"
barter,['ba:tə],"бартер, меновая торговля; товарообмен"
beam,[bi:m],луч
bellicose,['belikəus],"воинственный, воинствующий; агрессивный, враждебный"
bilateral,[bai'læt(ə)r(ə)l],двусторонний
blatant,['bleit(ə)nt],"вульгарный, крикливый"
blunder,['bl∧ndə],"грубая ошибка; промах, просчёт"
brace,[breis],"связь; скоба, скрепа; подпорка, распорка; ремень, перевязь"
breathtaking,"['breθ,teikiɳ]","захватывающий, изумительный, поразительный, потрясающий, удивительный, умопомрачительный, бесподобный, фантастический (об опыте, переживании)"
breeze,[bri:z],"лёгкий ветерок, бриз"
casual,['kæƷwəl],"случайный, бессистемный, нерегулярный"
cavity,['kævəti],"впадина; котловина, яма; каверна; полость, дупло (в зубе)"
census,['sen(t)səs],перепись; сбор сведений
clandestine,[klæn'destin],"тайный, скрытый, секретный; нелегальный"
coalition,[kəuə'li∫(ə)n],"объединение, соединение, комбинация"
coherent,[kə(u)'hiər(ə)nt],"сцепленный, связанный"
commitment,[kə'mitmənt],обязательство
commodity,[kə'mоdəti],предмет потребления
competent,['kоmpit(ə)nt],"осведомлённый, сведущий"
compulsory,[kəm'p∧ls(ə)ri],принудительный; насильственный; обязательный
confidential,"[,kоnfi'den(t)∫(ə)l]","частный, личный"
contempt,[kən'tempt],презрение (к кому-л.)
crucial,['kru:∫(ə)l],"ключевой; критический, решающий"
crude,[kru:d],сырая нефть
defective,[di'fektiv],"имеющий недостатки, дефекты, дефектный"
deliberate,[di'lib(ə)rit],"неслучайный, тщательно спланированный, взвешенный"
delicate,['delikit],"изысканный, тонкий, утончённый"
device,[di'vais],"устройство, приспособление; механизм; аппарат, машина, прибор"
elasticity,"[,ilæs'tisəti]",эластичность; упругость
endorse,[in'do:s],расписываться на обороте документа
equitable,['ekwitəbl],"беспристрастный, непредубеждённый, объективный, справедливый"
escalate,['eskəleit],подниматься на эскалаторе; перемещаться на эскалаторе
essential,[i'sen(t)∫(ə)l],"внутренне присущий, неотъемлемый; затрагивающий сущность"
explicit,[ik'splisit],"ясный, подробный; подробно разработанный; высказанный до конца; явный; определённый, точный"
extraneous,[ik'streiniəs],"внешний, поступающий извне; посторонний, чуждый"
facile,['fæsail],"лёгкий, легко обретённый, легко достижимый"
famine,['fæmin],голод (стихийное бедствие)
fatigue,[fə'ti:g],"усталость, утомление"
consecutive,[kən'sekjutiv],последовательный; консекутивный; (непрерывно) следующий друг за другом
cordial,['ko:diəl],"сердечный, задушевный, тёплый, радушный"
crooked,['krukid],"изогнутый, кривой"
edible,['edibl],съедобный; годный в пищу
efface,[i'feis],"стирать, вычёркивать, удалять, отбрасывать; изглаживать"
facility,[fə'siləti],"возможность, благоприятные условия; льготы"
flexible,['fleksəbl],"гибкий; гнущийся; мягкий, эластичный"
fusion,['fju:Ʒ(ə)n],плавка; расплавление
harness,"['ha:nis, 'ha:nəs]","упряжь, сбруя"
harsh,[ha:∫],"жёсткий, твёрдый, грубый, неприятный (на ощупь); шершавый, шероховатый; зазубренный"
hasty,['heisti],"быстрый, скорый, стремительный"
imminent,['iminənt],"надвигающийся, неотвратимый, неизбежный, неминуемый (обычно об опасности, беде)"
immortal,[i'mo:t(ə)l],"вечный, бессмертный"
impartial,[im'pa:∫(ə)l],"беспристрастный, справедливый, непредубеждённый; непредвзятый, объективный"
impromptu,[im'prоmptju:],экспромт; импровизация
incandescent,"[,inkæn'des(ə)nt]","раскалённый, накалённый добела; получаемый от ламп накаливания (о свете)"
incentive,[in'sentiv],"побуждение, стимул"
instantaneous,"[,in(t)stən'teiniəs]","мгновенный; немедленный, незамедлительный"
interim,['int(ə)rim],промежуток времени
intractable,[in'træktəbl],"упрямый, неподатливый; непокорный"
latent,['leit(ə)nt],"скрытый, латентный, непроявившийся, в скрытом состоянии"
maiden,['meid(ə)n],"дева, девица, девушка"
malignant,[mə'lignənt],злобный; злостный; зловредный